None,metro_area,date,value
151,Minneapolis,2008-11-30,201000.0
152,Minneapolis,2008-10-31,208250.0
153,Minneapolis,2008-09-30,214900.0
154,Minneapolis,2008-08-31,219000.0
155,Minneapolis,2008-07-31,220000.0
156,Minneapolis,2008-06-30,219900.0
157,Minneapolis,2008-05-31,219000.0
158,Minneapolis,2008-04-30,220000.0
159,Minneapolis,2008-03-31,219000.0
160,Minneapolis,2008-02-29,215000.0
