None,indicator_id,region_id,date,value
144,SRAM,394530,2009-06-30,235000.0
145,SRAM,394530,2009-05-31,227400.0
146,SRAM,394530,2009-04-30,226000.0
147,SRAM,394530,2009-03-31,222500.0
148,SRAM,394530,2009-02-28,212250.0
149,SRAM,394530,2009-01-31,205670.0
150,SRAM,394530,2008-12-31,226000.0
151,SRAM,394530,2008-11-30,221500.0
152,SRAM,394530,2008-10-31,232350.0
153,SRAM,394530,2008-09-30,233900.0
154,SRAM,394530,2008-08-31,241500.0
155,SRAM,394530,2008-07-31,248250.0
156,SRAM,394530,2008-06-30,248000.0
157,SRAM,394530,2008-05-31,238250.0
158,SRAM,394530,2008-04-30,238500.0
159,SRAM,394530,2008-03-31,247423.0
160,SRAM,394530,2008-02-29,240000.0
