None,indicator_id,region_id,date,value
61,SRAM,394935,2016-05-31,162000.0
62,SRAM,394935,2016-04-30,162000.0
63,SRAM,394935,2016-03-31,158000.0
64,SRAM,394935,2016-02-29,153307.0
65,SRAM,394935,2016-01-31,160000.0
66,SRAM,394935,2015-12-31,157500.0
67,SRAM,394935,2015-11-30,153000.0
68,SRAM,394935,2015-10-31,158000.0
69,SRAM,394935,2015-09-30,160825.0
70,SRAM,394935,2015-08-31,163500.0
71,SRAM,394935,2015-07-31,165000.0
72,SRAM,394935,2015-06-30,170000.0
73,SRAM,394935,2015-05-31,161500.0
74,SRAM,394935,2015-04-30,152138.0
75,SRAM,394935,2015-03-31,153000.0
76,SRAM,394935,2015-02-28,152000.0
77,SRAM,394935,2015-01-31,151000.0
78,SRAM,394935,2014-12-31,158500.0
79,SRAM,394935,2014-11-30,155000.0
80,SRAM,394935,2014-10-31,156000.0
81,SRAM,394935,2014-09-30,155000.0
82,SRAM,394935,2014-08-31,155000.0
83,SRAM,394935,2014-07-31,160000.0
84,SRAM,394935,2014-06-30,160000.0
85,SRAM,394935,2014-05-31,155000.0
86,SRAM,394935,2014-04-30,150000.0
87,SRAM,394935,2014-03-31,151000.0
88,SRAM,394935,2014-02-28,145500.0
89,SRAM,394935,2014-01-31,137500.0
90,SRAM,394935,2013-12-31,147000.0
91,SRAM,394935,2013-11-30,142500.0
92,SRAM,394935,2013-10-31,143500.0
93,SRAM,394935,2013-09-30,145000.0
94,SRAM,394935,2013-08-31,150000.0
95,SRAM,394935,2013-07-31,153000.0
96,SRAM,394935,2013-06-30,150000.0
97,SRAM,394935,2013-05-31,142500.0
98,SRAM,394935,2013-04-30,140000.0
99,SRAM,394935,2013-03-31,140500.0
100,SRAM,394935,2013-02-28,139500.0
101,SRAM,394935,2013-01-31,136000.0
102,SRAM,394935,2012-12-31,138000.0
103,SRAM,394935,2012-11-30,144000.0
104,SRAM,394935,2012-10-31,142750.0
105,SRAM,394935,2012-09-30,140000.0
106,SRAM,394935,2012-08-31,143250.0
107,SRAM,394935,2012-07-31,140000.0
108,SRAM,394935,2012-06-30,140000.0
109,SRAM,394935,2012-05-31,141000.0
110,SRAM,394935,2012-04-30,134000.0
111,SRAM,394935,2012-03-31,133000.0
112,SRAM,394935,2012-02-29,128500.0
113,SRAM,394935,2012-01-31,130000.0
114,SRAM,394935,2011-12-31,135000.0
115,SRAM,394935,2011-11-30,129900.0
116,SRAM,394935,2011-10-31,132500.0
117,SRAM,394935,2011-09-30,130500.0
118,SRAM,394935,2011-08-31,132500.0
119,SRAM,394935,2011-07-31,136125.0
120,SRAM,394935,2011-06-30,139000.0
121,SRAM,394935,2011-05-31,136000.0
122,SRAM,394935,2011-04-30,125000.0
123,SRAM,394935,2011-03-31,128000.0
124,SRAM,394935,2011-02-28,127000.0
125,SRAM,394935,2011-01-31,130000.0
126,SRAM,394935,2010-12-31,130000.0
127,SRAM,394935,2010-11-30,132500.0
128,SRAM,394935,2010-10-31,126250.0
129,SRAM,394935,2010-09-30,133500.0
130,SRAM,394935,2010-08-31,129000.0
131,SRAM,394935,2010-07-31,130000.0
132,SRAM,394935,2010-06-30,135000.0
133,SRAM,394935,2010-05-31,127000.0
134,SRAM,394935,2010-04-30,125000.0
135,SRAM,394935,2010-03-31,127750.0
136,SRAM,394935,2010-02-28,122000.0
137,SRAM,394935,2010-01-31,119500.0
138,SRAM,394935,2009-12-31,122000.0
139,SRAM,394935,2009-11-30,125000.0
140,SRAM,394935,2009-10-31,124000.0
141,SRAM,394935,2009-09-30,126000.0
142,SRAM,394935,2009-08-31,126000.0
143,SRAM,394935,2009-07-31,132075.0
144,SRAM,394935,2009-06-30,130000.0
145,SRAM,394935,2009-05-31,129000.0
146,SRAM,394935,2009-04-30,120000.0
147,SRAM,394935,2009-03-31,126000.0
148,SRAM,394935,2009-02-28,125000.0
149,SRAM,394935,2009-01-31,125000.0
150,SRAM,394935,2008-12-31,119000.0
151,SRAM,394935,2008-11-30,120000.0
152,SRAM,394935,2008-10-31,125550.0
153,SRAM,394935,2008-09-30,122000.0
154,SRAM,394935,2008-08-31,129000.0
155,SRAM,394935,2008-07-31,127500.0
156,SRAM,394935,2008-06-30,130000.0
157,SRAM,394935,2008-05-31,125000.0
158,SRAM,394935,2008-04-30,125000.0
159,SRAM,394935,2008-03-31,117000.0
160,SRAM,394935,2008-02-29,115000.0
